"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2024-06-03","TRVI","10338","0","84254","Q"
"NYTRF","2024-06-03","TRVI","85","0","376","N"
"NQTRF","2024-05-31","TRVI","8804","0","21410","Q"
"NYTRF","2024-05-31","TRVI","26","0","52","N"
"NQTRF","2024-05-30","TRVI","12798","0","163998","Q"
"NYTRF","2024-05-30","TRVI","14","0","448","N"
"NQTRF","2024-05-29","TRVI","24109","3000","57867","Q"
"NYTRF","2024-05-29","TRVI","11","0","602","N"
"NQTRF","2024-05-28","TRVI","18016","0","72914","Q"
"NYTRF","2024-05-28","TRVI","2005","0","2410","N"
"NQTRF","2024-05-24","TRVI","15080","0","316917","Q"
"NYTRF","2024-05-24","TRVI","4705","0","10208","N"
"NQTRF","2024-05-23","TRVI","11963","0","28677","Q"
"NYTRF","2024-05-23","TRVI","345","0","829","N"
"NQTRF","2024-05-22","TRVI","6861","350","13592","Q"
"NYTRF","2024-05-22","TRVI","351","0","562","N"
"NQTRF","2024-05-21","TRVI","7605","0","21869","Q"
"NYTRF","2024-05-21","TRVI","11","0","111","N"
"NQTRF","2024-05-20","TRVI","36505","2611","69527","Q"
"NYTRF","2024-05-20","TRVI","106","0","1640","N"
"NQTRF","2024-05-17","TRVI","7953","0","22804","Q"
"NYTRF","2024-05-17","TRVI","152","0","263","N"
"NQTRF","2024-05-16","TRVI","43209","0","69351","Q"
"NYTRF","2024-05-16","TRVI","6","0","3901","N"
"NQTRF","2024-05-15","TRVI","26618","0","131924","Q"
"NYTRF","2024-05-15","TRVI","615","0","720","N"
"NQTRF","2024-05-14","TRVI","19499","0","29996","Q"
"NYTRF","2024-05-14","TRVI","20","0","136","N"
"NQTRF","2024-05-13","TRVI","15055","106","38606","Q"
"NQTRF","2024-05-10","TRVI","18991","119","21981","Q"
"NQTRF","2024-05-09","TRVI","27250","140","166228","Q"
"NYTRF","2024-05-09","TRVI","1","0","188","N"
"NQTRF","2024-05-08","TRVI","34516","15866","65796","Q"
"NYTRF","2024-05-08","TRVI","8","0","2710","N"
"NQTRF","2024-05-07","TRVI","8687","0","25733","Q"
"NYTRF","2024-05-07","TRVI","186","0","637","N"
"NQTRF","2024-05-06","TRVI","2444","0","13261","Q"
"NQTRF","2024-05-03","TRVI","3545","0","6701","Q"
"NYTRF","2024-05-03","TRVI","1","0","329","N"
"NQTRF","2024-05-02","TRVI","13149","4676","24800","Q"
"NYTRF","2024-05-02","TRVI","5","0","130","N"
"NQTRF","2024-05-01","TRVI","10808","0","50214","Q"
"NQTRF","2024-04-30","TRVI","15670","0","159272","Q"
"NYTRF","2024-04-30","TRVI","257","0","685","N"
"NQTRF","2024-04-29","TRVI","4569","0","15939","Q"
"NYTRF","2024-04-29","TRVI","100","0","109","N"
"NQTRF","2024-04-26","TRVI","7654","0","18079","Q"
"NQTRF","2024-04-25","TRVI","60909","0","91390","Q"
"NQTRF","2024-04-24","TRVI","21097","0","40932","Q"
"NYTRF","2024-04-24","TRVI","198","0","726","N"
"NQTRF","2024-04-23","TRVI","10899","0","124999","Q"
"NCTRF","2024-04-22","TRVI","2094","0","2194","B"
"NQTRF","2024-04-22","TRVI","20143","0","131945","Q"
"NQTRF","2024-04-19","TRVI","27799","0","48134","Q"
"NYTRF","2024-04-19","TRVI","118","0","190","N"
"NQTRF","2024-04-18","TRVI","27326","0","47306","Q"
"NQTRF","2024-04-17","TRVI","39813","3711","116343","Q"
"NQTRF","2024-04-16","TRVI","6522","0","33499","Q"
"NQTRF","2024-04-15","TRVI","2615","0","14106","Q"
"NYTRF","2024-04-15","TRVI","2451","2451","3821","N"
"NQTRF","2024-04-12","TRVI","10114","37","32369","Q"
"NQTRF","2024-04-11","TRVI","15712","0","55605","Q"
"NQTRF","2024-04-10","TRVI","23617","0","90978","Q"
"NQTRF","2024-04-09","TRVI","68072","0","245377","Q"
"NYTRF","2024-04-09","TRVI","10","0","669","N"
"NCTRF","2024-04-08","TRVI","500","0","500","B"
"NQTRF","2024-04-08","TRVI","4078","0","47185","Q"
"NQTRF","2024-04-05","TRVI","8825","0","261599","Q"
